# Lifetime spectra at each unfolded fraction
# Gaussian R_mean=35.0 Å, sigma=4.0 Å; WLC Lc=80.0 Å, Lp=60.0 Å
# fraction_unfolded	amplitude	lifetime_ns
0.15000000	0.00000000	0.00000515
0.15000000	0.00000000	0.00000701
0.15000000	0.00000000	0.00000953
0.15000000	0.00000000	0.00001296
0.15000000	0.00000000	0.00001762
0.15000000	0.00000000	0.00002396
0.15000000	0.00000000	0.00003258
0.15000000	0.00000000	0.00004431
0.15000000	0.00000000	0.00006026
0.15000000	0.00000000	0.00008195
0.15000000	0.00000000	0.00011144
0.15000000	0.00000000	0.00015155
0.15000000	0.00000000	0.00020609
0.15000000	0.00000000	0.00028027
0.15000000	0.00000000	0.00038113
0.15000000	0.00000001	0.00051829
0.15000000	0.00000002	0.00070479
0.15000000	0.00000004	0.00095840
0.15000000	0.00000010	0.00130323
0.15000000	0.00000025	0.00177208
0.15000000	0.00000064	0.00240949
0.15000000	0.00000169	0.00327600
0.15000000	0.00000450	0.00445377
0.15000000	0.00001198	0.00605433
0.15000000	0.00003191	0.00822890
0.15000000	0.00008442	0.01118233
0.15000000	0.00022046	0.01519175
0.15000000	0.00056390	0.02063131
0.15000000	0.00140051	0.02800487
0.15000000	0.00334360	0.03798856
0.15000000	0.00758564	0.05148528
0.15000000	0.01614060	0.06969281
0.15000000	0.03173292	0.09418577
0.15000000	0.05667507	0.12700841
0.15000000	0.09020009	0.17076925
0.15000000	0.12516730	0.22871750
0.15000000	0.14775604	0.30476469
0.15000000	0.14430865	0.40339249
0.15000000	0.11300943	0.52936573
0.15000000	0.06849774	0.68716232
0.15000000	0.03088332	0.88006846
0.15000000	0.00990530	1.10900028
0.15000000	0.00214948	1.37130906
0.15000000	0.00029833	1.66003533
0.15000000	0.00002486	1.96413013
0.15000000	0.00000116	2.26989307
0.15000000	0.00000003	2.56332399
0.15000000	0.00000000	2.83258347
0.15000000	0.00000000	3.06969371
0.15000000	0.00000000	3.27103882
0.15000000	0.00000000	3.43680211
0.15000000	0.00000000	3.56982850
0.15000000	0.00000000	3.67441095
0.15000000	0.00000000	3.75531030
0.15000000	0.00000000	3.81710905
0.15000000	0.00000000	3.86386573
0.15000000	0.00000000	3.89898525
0.15000000	0.00000000	3.92522008
0.15000000	0.00000000	3.94473795
0.15000000	0.00000000	3.95921452
0.15000000	0.00000000	3.96992768
0.15000000	0.00000000	3.97784255
0.15000000	0.00000000	3.98368284
0.15000000	0.00000000	4.00000000
0.15000000	0.00021635	0.00000000
0.15000000	0.00021647	0.00000000
0.15000000	0.00021660	0.00000000
0.15000000	0.00021674	0.00000000
0.15000000	0.00021689	0.00000000
0.15000000	0.00021707	0.00000000
0.15000000	0.00021726	0.00000000
0.15000000	0.00021747	0.00000000
0.15000000	0.00021771	0.00000000
0.15000000	0.00021797	0.00000000
0.15000000	0.00021826	0.00000000
0.15000000	0.00021858	0.00000001
0.15000000	0.00021894	0.00000001
0.15000000	0.00021933	0.00000001
0.15000000	0.00021977	0.00000001
0.15000000	0.00022026	0.00000002
0.15000000	0.00022080	0.00000003
0.15000000	0.00022139	0.00000004
0.15000000	0.00022205	0.00000005
0.15000000	0.00022279	0.00000007
0.15000000	0.00022360	0.00000009
0.15000000	0.00022451	0.00000013
0.15000000	0.00022551	0.00000018
0.15000000	0.00022662	0.00000024
0.15000000	0.00022785	0.00000032
0.15000000	0.00022922	0.00000044
0.15000000	0.00023074	0.00000060
0.15000000	0.00023243	0.00000081
0.15000000	0.00023431	0.00000111
0.15000000	0.00023639	0.00000151
0.15000000	0.00023871	0.00000205
0.15000000	0.00024128	0.00000279
0.15000000	0.00024415	0.00000379
0.15000000	0.00024733	0.00000515
0.15000000	0.00025088	0.00000701
0.15000000	0.00025483	0.00000953
0.15000000	0.00025923	0.00001296
0.15000000	0.00026413	0.00001762
0.15000000	0.00026960	0.00002396
0.15000000	0.00027571	0.00003258
0.15000000	0.00028254	0.00004431
0.15000000	0.00029017	0.00006026
0.15000000	0.00029871	0.00008195
0.15000000	0.00030827	0.00011144
0.15000000	0.00031901	0.00015155
0.15000000	0.00033106	0.00020609
0.15000000	0.00034461	0.00028027
0.15000000	0.00035986	0.00038113
0.15000000	0.00037707	0.00051829
0.15000000	0.00039650	0.00070479
0.15000000	0.00041850	0.00095840
0.15000000	0.00044344	0.00130323
0.15000000	0.00047177	0.00177208
0.15000000	0.00050404	0.00240949
0.15000000	0.00054087	0.00327600
0.15000000	0.00058302	0.00445377
0.15000000	0.00063138	0.00605433
0.15000000	0.00068704	0.00822890
0.15000000	0.00075127	0.01118233
0.15000000	0.00082564	0.01519175
0.15000000	0.00091203	0.02063131
0.15000000	0.00101271	0.02800487
