d[A]	CH	ON	OH	CN
1.475	41.6474	5647.4144	-41.6474	16356.2896
1.485	41.367	5209.6581	-41.367	15074.2906
1.495	41.0903	4808.664	-41.0903	13899.9256
1.505	40.8172	4441.1309	-40.8172	12823.5341
1.515	40.5478	4104.0728	-40.5478	11836.3781
1.525	40.2819	3794.7875	-40.2819	10930.5493
1.535	40.0195	3510.8274	-40.0195	10098.885
1.545	39.7605	3249.9749	-39.7605	9334.8941
1.555	39.5048	3010.2186	-39.5048	8632.6901
1.565	39.2524	2789.7336	-39.2524	7986.9314
1.575	39.0031	2586.863	-39.0031	7392.7679
1.585	38.7571	2400.1014	-38.7571	6845.7932
1.595	38.5141	2228.0805	-38.5141	6342.0014
1.605	38.2741	2069.5554	-38.2741	5877.7486
1.615	38.0371	1923.3934	-38.0371	5449.7181
1.625	37.8031	1788.5627	-37.8031	5054.8893
1.635	37.5718	1664.1234	-37.5718	4690.51
1.645	37.3434	1549.2183	-37.3434	4354.0706
1.655	37.1178	1443.0656	-37.1178	4043.2817
1.665	36.8949	1344.9518	-36.8949	3756.0537
1.675	36.6746	1254.2252	-36.6746	3490.478
1.685	36.4569	1170.2903	-36.4569	3244.811
1.695	36.2419	1092.6028	-36.2419	3017.458
1.705	36.0293	1020.6647	-36.0293	2806.9607
1.715	35.8192	954.0205	-35.8192	2611.9843
1.725	35.6116	892.2527	-35.6116	2431.3065
1.735	35.4063	834.9793	-35.4063	2263.8073
1.745	35.2034	781.8498	-35.2034	2108.4605
1.755	35.0028	732.5429	-35.0028	1964.3245
1.765	34.8045	686.7639	-34.8045	1830.5357
1.775	34.6084	644.2423	-34.6084	1706.3011
1.785	34.4145	604.7294	-34.4145	1590.8925
1.795	34.2228	567.9971	-34.2228	1483.6409
1.805	34.0332	533.8354	-34.0332	1383.931
1.815	33.8457	502.0514	-33.8457	1291.197
1.825	33.6603	472.4674	-33.6603	1204.9185
1.835	33.4768	444.92	-33.4768	1124.616
1.845	33.2954	419.2586	-33.2954	1049.8484
1.855	33.1159	395.3446	-33.1159	980.2088
1.865	32.9383	373.0502	-32.9383	915.3225
1.875	32.7626	352.2574	-32.7626	854.8437
1.885	32.5888	332.8574	-32.5888	798.4534
1.895	32.4169	314.7501	-32.4169	745.8573
1.905	32.2467	297.8426	-32.2467	696.7836
1.915	32.0783	282.0494	-32.0783	650.9811
1.925	31.9117	267.2914	-31.9117	608.2177
1.935	31.7467	253.4954	-31.7467	568.279
1.945	31.5835	240.594	-31.5835	530.9664
1.955	31.422	228.5244	-31.422	496.0965
1.965	31.2621	217.2289	-31.2621	463.4992
1.975	31.1038	206.6537	-31.1038	433.0171
1.985	30.9471	196.7493	-30.9471	404.5046
1.995	30.792	187.4696	-30.792	377.8265
2.005	30.6384	178.772	-30.6384	352.8575
2.015	30.4863	170.6169	-30.4863	329.4816
2.025	30.3358	162.9677	-30.3358	307.591
2.035	30.1867	155.7902	-30.1867	287.0856
2.045	30.0391	149.053	-30.0391	267.8727
2.055	29.8929	142.7266	-29.8929	249.866
2.065	29.7482	136.7838	-29.7482	232.9854
2.075	29.6048	131.1993	-29.6048	217.1564
2.085	29.4628	125.9494	-29.4628	202.3098
2.095	29.3222	121.0123	-29.3222	188.3813
2.105	29.1829	116.3676	-29.1829	175.3109
2.115	29.0449	111.9964	-29.0449	163.0429
2.125	28.9082	107.8809	-28.9082	151.5253
2.135	28.7728	104.0048	-28.7728	140.71
2.145	28.6387	100.3528	-28.6387	130.5517
2.155	28.5058	96.9105	-28.5058	121.0086
2.165	28.3741	93.6647	-28.3741	112.0415
2.175	28.2437	90.603	-28.2437	103.614
2.185	28.1144	87.7138	-28.1144	95.692
2.195	27.9863	84.9864	-27.9863	88.2439
2.205	27.8594	82.4106	-27.8594	81.2399
2.215	27.7336	79.977	-27.7336	74.6523
2.225	27.609	77.6769	-27.609	68.4554
2.235	27.4854	75.5021	-27.4854	62.6251
2.245	27.363	73.445	-27.363	57.1387
2.255	27.2417	71.4982	-27.2417	51.9751
2.265	27.1214	69.6552	-27.1214	47.1147
2.275	27.0022	67.9098	-27.0022	42.539
2.285	26.884	66.2559	-26.884	38.2308
2.295	26.7669	64.6882	-26.7669	34.1739
2.305	26.6507	63.2016	-26.6507	30.3531
2.315	26.5356	61.7911	-26.5356	26.7544
2.325	26.4215	60.4524	-26.4215	23.3645
2.335	26.3083	59.1811	-26.3083	20.171
2.345	26.1961	57.9735	-26.1961	17.1622
2.355	26.0849	56.8257	-26.0849	14.3272
2.365	25.9746	55.7342	-25.9746	11.6558
2.375	25.8652	54.6959	-25.8652	9.1384
2.385	25.7568	53.7077	-25.7568	6.766
2.395	25.6493	52.7666	-25.6493	4.5302
2.405	25.5426	51.8701	-25.5426	2.423
2.415	25.4368	51.0156	-25.4368	0.437
2.425	25.3319	50.2008	-25.3319	-1.4348
2.435	25.2279	49.4233	-25.2279	-3.1989
